geslacht_src,lft_src,geslacht_dst,lft_dst,n
Man,"[0,20)",Man,"[0,20)",1516660
Man,"[0,20)",Man,"[20,30)",145110
Man,"[0,20)",Man,"[30,40)",52370
Man,"[0,20)",Man,"[40,50)",16690
Man,"[0,20)",Man,"[50,60)",14860
Man,"[0,20)",Man,"[60,70)",4480
Man,"[0,20)",Man,"[70,80)",90
Man,"[0,20)",Vrouw,"[0,20)",1377570
Man,"[0,20)",Vrouw,"[20,30)",136530
Man,"[0,20)",Vrouw,"[30,40)",31710
Man,"[0,20)",Vrouw,"[40,50)",20440
Man,"[0,20)",Vrouw,"[50,60)",13190
Man,"[0,20)",Vrouw,"[60,70)",3560
Man,"[0,20)",Vrouw,"[70,80)",10
Man,"[20,30)",Man,"[0,20)",145810
Man,"[20,30)",Man,"[20,30)",808880
Man,"[20,30)",Man,"[30,40)",454860
Man,"[20,30)",Man,"[40,50)",159810
Man,"[20,30)",Man,"[50,60)",128520
Man,"[20,30)",Man,"[60,70)",53680
Man,"[20,30)",Man,"[70,80)",1740
Man,"[20,30)",Vrouw,"[0,20)",138690
Man,"[20,30)",Vrouw,"[20,30)",804680
Man,"[20,30)",Vrouw,"[30,40)",295670
Man,"[20,30)",Vrouw,"[40,50)",133230
Man,"[20,30)",Vrouw,"[50,60)",98550
Man,"[20,30)",Vrouw,"[60,70)",34970
Man,"[20,30)",Vrouw,"[70,80)",640
Man,"[30,40)",Man,"[0,20)",50440
Man,"[30,40)",Man,"[20,30)",448670
Man,"[30,40)",Man,"[30,40)",577460
Man,"[30,40)",Man,"[40,50)",299200
Man,"[30,40)",Man,"[50,60)",219310
Man,"[30,40)",Man,"[60,70)",71180
Man,"[30,40)",Man,"[70,80)",1420
Man,"[30,40)",Vrouw,"[0,20)",49790
Man,"[30,40)",Vrouw,"[20,30)",423440
Man,"[30,40)",Vrouw,"[30,40)",645630
Man,"[30,40)",Vrouw,"[40,50)",227530
Man,"[30,40)",Vrouw,"[50,60)",158130
Man,"[30,40)",Vrouw,"[60,70)",53900
Man,"[30,40)",Vrouw,"[70,80)",90
Man,"[40,50)",Man,"[0,20)",16250
Man,"[40,50)",Man,"[20,30)",165380
Man,"[40,50)",Man,"[30,40)",337350
Man,"[40,50)",Man,"[40,50)",208170
Man,"[40,50)",Man,"[50,60)",198300
Man,"[40,50)",Man,"[60,70)",80350
Man,"[40,50)",Man,"[70,80)",790
Man,"[40,50)",Vrouw,"[0,20)",15370
Man,"[40,50)",Vrouw,"[20,30)",192280
Man,"[40,50)",Vrouw,"[30,40)",212120
Man,"[40,50)",Vrouw,"[40,50)",162460
Man,"[40,50)",Vrouw,"[50,60)",144410
Man,"[40,50)",Vrouw,"[60,70)",50640
Man,"[40,50)",Vrouw,"[70,80)",140
Man,"[50,60)",Man,"[0,20)",14750
Man,"[50,60)",Man,"[20,30)",133050
Man,"[50,60)",Man,"[30,40)",225500
Man,"[50,60)",Man,"[40,50)",201720
Man,"[50,60)",Man,"[50,60)",230230
Man,"[50,60)",Man,"[60,70)",102530
Man,"[50,60)",Man,"[70,80)",1340
Man,"[50,60)",Vrouw,"[0,20)",13030
Man,"[50,60)",Vrouw,"[20,30)",151890
Man,"[50,60)",Vrouw,"[30,40)",192570
Man,"[50,60)",Vrouw,"[40,50)",170370
Man,"[50,60)",Vrouw,"[50,60)",176760
Man,"[50,60)",Vrouw,"[60,70)",71580
Man,"[50,60)",Vrouw,"[70,80)",210
Man,"[60,70)",Man,"[0,20)",4600
Man,"[60,70)",Man,"[20,30)",55140
Man,"[60,70)",Man,"[30,40)",74650
Man,"[60,70)",Man,"[40,50)",83090
Man,"[60,70)",Man,"[50,60)",103560
Man,"[60,70)",Man,"[60,70)",54520
Man,"[60,70)",Man,"[70,80)",2180
