geslacht_src,lft_src,etngrp_src,geslacht_dst,lft_dst,etngrp_dst,n
Man,"[0,20)",Autochtoon,Man,"[0,20)",Autochtoon,274040
Man,"[0,20)",Autochtoon,Man,"[0,20)",Marokkaans,60910
Man,"[0,20)",Autochtoon,Man,"[0,20)",Overig,157910
Man,"[0,20)",Autochtoon,Man,"[0,20)",Surinaams,31040
Man,"[0,20)",Autochtoon,Man,"[0,20)",Turks,24760
Man,"[0,20)",Autochtoon,Man,"[20,30)",Autochtoon,19770
Man,"[0,20)",Autochtoon,Man,"[20,30)",Marokkaans,3850
Man,"[0,20)",Autochtoon,Man,"[20,30)",Overig,16600
Man,"[0,20)",Autochtoon,Man,"[20,30)",Surinaams,3930
Man,"[0,20)",Autochtoon,Man,"[20,30)",Turks,2430
Man,"[0,20)",Autochtoon,Man,"[30,40)",Autochtoon,4490
Man,"[0,20)",Autochtoon,Man,"[30,40)",Marokkaans,940
Man,"[0,20)",Autochtoon,Man,"[30,40)",Overig,6280
Man,"[0,20)",Autochtoon,Man,"[30,40)",Surinaams,1210
Man,"[0,20)",Autochtoon,Man,"[30,40)",Turks,610
Man,"[0,20)",Autochtoon,Man,"[40,50)",Autochtoon,2260
Man,"[0,20)",Autochtoon,Man,"[40,50)",Marokkaans,370
Man,"[0,20)",Autochtoon,Man,"[40,50)",Overig,1640
Man,"[0,20)",Autochtoon,Man,"[40,50)",Surinaams,520
Man,"[0,20)",Autochtoon,Man,"[40,50)",Turks,220
Man,"[0,20)",Autochtoon,Man,"[50,60)",Autochtoon,2440
Man,"[0,20)",Autochtoon,Man,"[50,60)",Marokkaans,260
Man,"[0,20)",Autochtoon,Man,"[50,60)",Overig,1070
Man,"[0,20)",Autochtoon,Man,"[50,60)",Surinaams,340
Man,"[0,20)",Autochtoon,Man,"[50,60)",Turks,40
Man,"[0,20)",Autochtoon,Man,"[60,70)",Autochtoon,860
Man,"[0,20)",Autochtoon,Man,"[60,70)",Marokkaans,40
Man,"[0,20)",Autochtoon,Man,"[60,70)",Overig,580
Man,"[0,20)",Autochtoon,Man,"[60,70)",Surinaams,60
Man,"[0,20)",Autochtoon,Man,"[70,80)",Autochtoon,30
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Autochtoon,259850
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Marokkaans,56230
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Overig,152890
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Surinaams,29140
Man,"[0,20)",Autochtoon,Vrouw,"[0,20)",Turks,21040
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Autochtoon,19960
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Marokkaans,4010
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Overig,17170
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Surinaams,3290
Man,"[0,20)",Autochtoon,Vrouw,"[20,30)",Turks,2000
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Autochtoon,4190
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Marokkaans,670
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Overig,3370
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Surinaams,840
Man,"[0,20)",Autochtoon,Vrouw,"[30,40)",Turks,470
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Autochtoon,2420
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Marokkaans,310
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Overig,1570
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Surinaams,560
Man,"[0,20)",Autochtoon,Vrouw,"[40,50)",Turks,330
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Autochtoon,2480
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Marokkaans,20
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Overig,1130
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Surinaams,840
Man,"[0,20)",Autochtoon,Vrouw,"[50,60)",Turks,10
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Autochtoon,710
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Overig,320
Man,"[0,20)",Autochtoon,Vrouw,"[60,70)",Surinaams,150
Man,"[0,20)",Autochtoon,Vrouw,"[70,80)",Autochtoon,10
Man,"[0,20)",Marokkaans,Man,"[0,20)",Autochtoon,60450
Man,"[0,20)",Marokkaans,Man,"[0,20)",Marokkaans,92110
Man,"[0,20)",Marokkaans,Man,"[0,20)",Overig,68210
Man,"[0,20)",Marokkaans,Man,"[0,20)",Surinaams,18770
Man,"[0,20)",Marokkaans,Man,"[0,20)",Turks,36990
Man,"[0,20)",Marokkaans,Man,"[20,30)",Autochtoon,6340
Man,"[0,20)",Marokkaans,Man,"[20,30)",Marokkaans,5530
Man,"[0,20)",Marokkaans,Man,"[20,30)",Overig,9730
Man,"[0,20)",Marokkaans,Man,"[20,30)",Surinaams,3380
Man,"[0,20)",Marokkaans,Man,"[20,30)",Turks,3360
Man,"[0,20)",Marokkaans,Man,"[30,40)",Autochtoon,2620
Man,"[0,20)",Marokkaans,Man,"[30,40)",Marokkaans,1710
Man,"[0,20)",Marokkaans,Man,"[30,40)",Overig,8300
Man,"[0,20)",Marokkaans,Man,"[30,40)",Surinaams,510
Man,"[0,20)",Marokkaans,Man,"[30,40)",Turks,980
