geslacht_src,lft_src,etngrp_src,oplniv_src,geslacht_dst,lft_dst,etngrp_dst,oplniv_dst,n
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,1,262420
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,2,2020
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Autochtoon,3,20
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Marokkaans,1,57300
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Marokkaans,2,660
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Marokkaans,3,10
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Overig,1,149050
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Overig,2,1200
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Overig,3,30
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Surinaams,1,28670
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Surinaams,2,600
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Turks,1,23280
Man,"[0,20)",Autochtoon,1,Man,"[0,20)",Turks,2,270
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,1,920
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,2,5500
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Autochtoon,3,2400
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,1,500
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,2,1360
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Marokkaans,3,150
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,1,1590
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,2,5110
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Overig,3,780
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,1,580
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,2,1290
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Surinaams,3,170
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,1,240
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,2,780
Man,"[0,20)",Autochtoon,1,Man,"[20,30)",Turks,3,50
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,1,380
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,2,1070
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Autochtoon,3,1550
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Marokkaans,1,180
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Marokkaans,2,250
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Marokkaans,3,90
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Overig,1,1950
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Overig,2,660
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Overig,3,1650
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Surinaams,1,220
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Surinaams,2,570
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Surinaams,3,80
Man,"[0,20)",Autochtoon,1,Man,"[30,40)",Turks,1,50
