lft_src,lft_dst,n
"[0,20)","[0,20)",5823780
"[0,20)","[20,30)",628740
"[0,20)","[30,40)",184670
"[0,20)","[40,50)",85380
"[0,20)","[50,60)",64060
"[0,20)","[60,70)",19260
"[0,20)","[70,80)",120
"[20,30)","[0,20)",633020
"[20,30)","[20,30)",3793020
"[20,30)","[30,40)",1647610
"[20,30)","[40,50)",712630
"[20,30)","[50,60)",575990
"[20,30)","[60,70)",235300
"[20,30)","[70,80)",5030
"[30,40)","[0,20)",186190
"[30,40)","[20,30)",1642330
"[30,40)","[30,40)",2335640
"[30,40)","[40,50)",1027030
"[30,40)","[50,60)",822950
"[30,40)","[60,70)",299560
"[30,40)","[70,80)",3040
"[40,50)","[0,20)",82990
"[40,50)","[20,30)",728630
"[40,50)","[30,40)",1076410
"[40,50)","[40,50)",766340
"[40,50)","[50,60)",737000
"[40,50)","[60,70)",299500
"[40,50)","[70,80)",2140
"[50,60)","[0,20)",65380
"[50,60)","[20,30)",598840
"[50,60)","[30,40)",838850
"[50,60)","[40,50)",749480
"[50,60)","[50,60)",855600
"[50,60)","[60,70)",372630
"[50,60)","[70,80)",3290
"[60,70)","[0,20)",19560
"[60,70)","[20,30)",243750
"[60,70)","[30,40)",306240
"[60,70)","[40,50)",304000
"[60,70)","[50,60)",374500
"[60,70)","[60,70)",185070
"[60,70)","[70,80)",4320
"[70,80)","[0,20)",100
"[70,80)","[20,30)",4670
"[70,80)","[30,40)",3200
"[70,80)","[40,50)",2450
"[70,80)","[50,60)",3130
"[70,80)","[60,70)",5290
"[70,80)","[70,80)",3740
