lft_src,etngrp_src,lft_dst,etngrp_dst,n
"[0,20)",Autochtoon,"[0,20)",Autochtoon,1082650
"[0,20)",Autochtoon,"[0,20)",Marokkaans,225810
"[0,20)",Autochtoon,"[0,20)",Overig,619830
"[0,20)",Autochtoon,"[0,20)",Surinaams,118020
"[0,20)",Autochtoon,"[0,20)",Turks,88800
"[0,20)",Autochtoon,"[20,30)",Autochtoon,92950
"[0,20)",Autochtoon,"[20,30)",Marokkaans,16130
"[0,20)",Autochtoon,"[20,30)",Overig,76190
"[0,20)",Autochtoon,"[20,30)",Surinaams,15080
"[0,20)",Autochtoon,"[20,30)",Turks,9500
"[0,20)",Autochtoon,"[30,40)",Autochtoon,18930
"[0,20)",Autochtoon,"[30,40)",Marokkaans,3540
"[0,20)",Autochtoon,"[30,40)",Overig,19550
"[0,20)",Autochtoon,"[30,40)",Surinaams,4100
"[0,20)",Autochtoon,"[30,40)",Turks,2220
"[0,20)",Autochtoon,"[40,50)",Autochtoon,10350
"[0,20)",Autochtoon,"[40,50)",Marokkaans,1830
"[0,20)",Autochtoon,"[40,50)",Overig,6930
"[0,20)",Autochtoon,"[40,50)",Surinaams,2430
"[0,20)",Autochtoon,"[40,50)",Turks,1160
"[0,20)",Autochtoon,"[50,60)",Autochtoon,10870
"[0,20)",Autochtoon,"[50,60)",Marokkaans,690
"[0,20)",Autochtoon,"[50,60)",Overig,4760
"[0,20)",Autochtoon,"[50,60)",Surinaams,2780
"[0,20)",Autochtoon,"[50,60)",Turks,210
"[0,20)",Autochtoon,"[60,70)",Autochtoon,3710
"[0,20)",Autochtoon,"[60,70)",Marokkaans,90
"[0,20)",Autochtoon,"[60,70)",Overig,1910
"[0,20)",Autochtoon,"[60,70)",Surinaams,500
"[0,20)",Autochtoon,"[70,80)",Autochtoon,60
"[0,20)",Marokkaans,"[0,20)",Autochtoon,224320
"[0,20)",Marokkaans,"[0,20)",Marokkaans,360520
"[0,20)",Marokkaans,"[0,20)",Overig,247850
"[0,20)",Marokkaans,"[0,20)",Surinaams,68370
"[0,20)",Marokkaans,"[0,20)",Turks,145620
"[0,20)",Marokkaans,"[20,30)",Autochtoon,28290
"[0,20)",Marokkaans,"[20,30)",Marokkaans,28200
"[0,20)",Marokkaans,"[20,30)",Overig,30750
"[0,20)",Marokkaans,"[20,30)",Surinaams,11910
"[0,20)",Marokkaans,"[20,30)",Turks,14450
"[0,20)",Marokkaans,"[30,40)",Autochtoon,11370
"[0,20)",Marokkaans,"[30,40)",Marokkaans,6270
"[0,20)",Marokkaans,"[30,40)",Overig,26510
"[0,20)",Marokkaans,"[30,40)",Surinaams,2400
"[0,20)",Marokkaans,"[30,40)",Turks,4310
"[0,20)",Marokkaans,"[40,50)",Autochtoon,6230
"[0,20)",Marokkaans,"[40,50)",Marokkaans,3980
"[0,20)",Marokkaans,"[40,50)",Overig,6370
"[0,20)",Marokkaans,"[40,50)",Surinaams,2250
"[0,20)",Marokkaans,"[40,50)",Turks,2380
"[0,20)",Marokkaans,"[50,60)",Autochtoon,5890
"[0,20)",Marokkaans,"[50,60)",Marokkaans,1690
"[0,20)",Marokkaans,"[50,60)",Overig,3240
"[0,20)",Marokkaans,"[50,60)",Surinaams,1790
"[0,20)",Marokkaans,"[50,60)",Turks,190
"[0,20)",Marokkaans,"[60,70)",Autochtoon,2640
"[0,20)",Marokkaans,"[60,70)",Marokkaans,130
"[0,20)",Marokkaans,"[60,70)",Overig,920
"[0,20)",Marokkaans,"[60,70)",Surinaams,260
"[0,20)",Overig,"[0,20)",Autochtoon,619200
"[0,20)",Overig,"[0,20)",Marokkaans,249420
"[0,20)",Overig,"[0,20)",Overig,622740
"[0,20)",Overig,"[0,20)",Surinaams,151510
"[0,20)",Overig,"[0,20)",Turks,104920
"[0,20)",Overig,"[20,30)",Autochtoon,58310
"[0,20)",Overig,"[20,30)",Marokkaans,18810
"[0,20)",Overig,"[20,30)",Overig,81590
"[0,20)",Overig,"[20,30)",Surinaams,20220
"[0,20)",Overig,"[20,30)",Turks,10490
"[0,20)",Overig,"[30,40)",Autochtoon,12740
"[0,20)",Overig,"[30,40)",Marokkaans,3550
"[0,20)",Overig,"[30,40)",Overig,22230
"[0,20)",Overig,"[30,40)",Surinaams,5390
"[0,20)",Overig,"[30,40)",Turks,2830
"[0,20)",Overig,"[40,50)",Autochtoon,8030
"[0,20)",Overig,"[40,50)",Marokkaans,2160
"[0,20)",Overig,"[40,50)",Overig,7350
"[0,20)",Overig,"[40,50)",Surinaams,3410
"[0,20)",Overig,"[40,50)",Turks,1040
"[0,20)",Overig,"[50,60)",Autochtoon,8000
"[0,20)",Overig,"[50,60)",Marokkaans,900
"[0,20)",Overig,"[50,60)",Overig,4710
"[0,20)",Overig,"[50,60)",Surinaams,3780
"[0,20)",Overig,"[50,60)",Turks,160
"[0,20)",Overig,"[60,70)",Autochtoon,2990
"[0,20)",Overig,"[60,70)",Marokkaans,180
"[0,20)",Overig,"[60,70)",Overig,1310
"[0,20)",Overig,"[60,70)",Surinaams,630
"[0,20)",Overig,"[70,80)",Autochtoon,60
"[0,20)",Surinaams,"[0,20)",Autochtoon,117890
"[0,20)",Surinaams,"[0,20)",Marokkaans,69120
"[0,20)",Surinaams,"[0,20)",Overig,152610
"[0,20)",Surinaams,"[0,20)",Surinaams,89550
"[0,20)",Surinaams,"[0,20)",Turks,27330
"[0,20)",Surinaams,"[20,30)",Autochtoon,18000
"[0,20)",Surinaams,"[20,30)",Marokkaans,8260
"[0,20)",Surinaams,"[20,30)",Overig,23880
"[0,20)",Surinaams,"[20,30)",Surinaams,12070
"[0,20)",Surinaams,"[20,30)",Turks,4410
"[0,20)",Surinaams,"[30,40)",Autochtoon,5020
"[0,20)",Surinaams,"[30,40)",Marokkaans,1570
"[0,20)",Surinaams,"[30,40)",Overig,7320
"[0,20)",Surinaams,"[30,40)",Surinaams,3710
"[0,20)",Surinaams,"[30,40)",Turks,1010
"[0,20)",Surinaams,"[40,50)",Autochtoon,3110
"[0,20)",Surinaams,"[40,50)",Marokkaans,1080
"[0,20)",Surinaams,"[40,50)",Overig,3650
"[0,20)",Surinaams,"[40,50)",Surinaams,2430
"[0,20)",Surinaams,"[40,50)",Turks,390
"[0,20)",Surinaams,"[50,60)",Autochtoon,3660
"[0,20)",Surinaams,"[50,60)",Marokkaans,270
"[0,20)",Surinaams,"[50,60)",Overig,2510
"[0,20)",Surinaams,"[50,60)",Surinaams,2550
"[0,20)",Surinaams,"[50,60)",Turks,40
"[0,20)",Surinaams,"[60,70)",Autochtoon,1230
"[0,20)",Surinaams,"[60,70)",Marokkaans,50
"[0,20)",Surinaams,"[60,70)",Overig,640
"[0,20)",Surinaams,"[60,70)",Surinaams,690
"[0,20)",Turks,"[0,20)",Autochtoon,87910
"[0,20)",Turks,"[0,20)",Marokkaans,145790
"[0,20)",Turks,"[0,20)",Overig,104490
"[0,20)",Turks,"[0,20)",Surinaams,27030
"[0,20)",Turks,"[0,20)",Turks,72480
"[0,20)",Turks,"[20,30)",Autochtoon,10640
"[0,20)",Turks,"[20,30)",Marokkaans,10210
"[0,20)",Turks,"[20,30)",Overig,17050
"[0,20)",Turks,"[20,30)",Surinaams,4350
"[0,20)",Turks,"[20,30)",Turks,7000
"[0,20)",Turks,"[30,40)",Autochtoon,3660
"[0,20)",Turks,"[30,40)",Marokkaans,2470
"[0,20)",Turks,"[30,40)",Overig,9720
"[0,20)",Turks,"[30,40)",Surinaams,1110
"[0,20)",Turks,"[30,40)",Turks,3140
"[0,20)",Turks,"[40,50)",Autochtoon,2560
"[0,20)",Turks,"[40,50)",Marokkaans,1560
"[0,20)",Turks,"[40,50)",Overig,2280
"[0,20)",Turks,"[40,50)",Surinaams,970
"[0,20)",Turks,"[40,50)",Turks,1450
"[0,20)",Turks,"[50,60)",Autochtoon,2670
"[0,20)",Turks,"[50,60)",Marokkaans,510
"[0,20)",Turks,"[50,60)",Overig,1190
"[0,20)",Turks,"[50,60)",Surinaams,860
"[0,20)",Turks,"[50,60)",Turks,140
"[0,20)",Turks,"[60,70)",Autochtoon,1060
"[0,20)",Turks,"[60,70)",Marokkaans,40
"[0,20)",Turks,"[60,70)",Overig,180
"[0,20)",Turks,"[60,70)",Surinaams,100
"[20,30)",Autochtoon,"[0,20)",Autochtoon,92080
