lft_src,etngrp_src,oplniv_src,lft_dst,etngrp_dst,oplniv_dst,n
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,1,1024310
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,2,8390
"[0,20)",Autochtoon,1,"[0,20)",Autochtoon,3,70
"[0,20)",Autochtoon,1,"[0,20)",Marokkaans,1,211350
"[0,20)",Autochtoon,1,"[0,20)",Marokkaans,2,3500
"[0,20)",Autochtoon,1,"[0,20)",Marokkaans,3,10
"[0,20)",Autochtoon,1,"[0,20)",Overig,1,579840
"[0,20)",Autochtoon,1,"[0,20)",Overig,2,5080
"[0,20)",Autochtoon,1,"[0,20)",Overig,3,50
"[0,20)",Autochtoon,1,"[0,20)",Surinaams,1,108940
"[0,20)",Autochtoon,1,"[0,20)",Surinaams,2,2150
"[0,20)",Autochtoon,1,"[0,20)",Turks,1,82570
"[0,20)",Autochtoon,1,"[0,20)",Turks,2,1380
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,1,3090
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,2,20490
"[0,20)",Autochtoon,1,"[20,30)",Autochtoon,3,12140
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,1,1810
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,2,6170
"[0,20)",Autochtoon,1,"[20,30)",Marokkaans,3,740
"[0,20)",Autochtoon,1,"[20,30)",Overig,1,4830
"[0,20)",Autochtoon,1,"[20,30)",Overig,2,21070
"[0,20)",Autochtoon,1,"[20,30)",Overig,3,4560
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,1,1900
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,2,4980
"[0,20)",Autochtoon,1,"[20,30)",Surinaams,3,600
"[0,20)",Autochtoon,1,"[20,30)",Turks,1,940
"[0,20)",Autochtoon,1,"[20,30)",Turks,2,3250
"[0,20)",Autochtoon,1,"[20,30)",Turks,3,320
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,1,1240
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,2,3240
"[0,20)",Autochtoon,1,"[30,40)",Autochtoon,3,6950
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,1,630
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,2,1270
"[0,20)",Autochtoon,1,"[30,40)",Marokkaans,3,340
"[0,20)",Autochtoon,1,"[30,40)",Overig,1,4240
"[0,20)",Autochtoon,1,"[30,40)",Overig,2,3340
"[0,20)",Autochtoon,1,"[30,40)",Overig,3,4650
"[0,20)",Autochtoon,1,"[30,40)",Surinaams,1,640
