lft_src,oplniv_src,lft_dst,oplniv_dst,n
"[0,20)",1,"[0,20)",1,5427910
"[0,20)",1,"[0,20)",2,88120
"[0,20)",1,"[0,20)",3,590
"[0,20)",1,"[20,30)",1,73740
"[0,20)",1,"[20,30)",2,200570
"[0,20)",1,"[20,30)",3,54960
"[0,20)",1,"[30,40)",1,28150
"[0,20)",1,"[30,40)",2,43850
"[0,20)",1,"[30,40)",3,63660
"[0,20)",1,"[40,50)",1,21060
"[0,20)",1,"[40,50)",2,25850
"[0,20)",1,"[40,50)",3,14470
"[0,20)",1,"[50,60)",1,17160
"[0,20)",1,"[50,60)",2,19750
"[0,20)",1,"[50,60)",3,9400
"[0,20)",1,"[60,70)",1,5670
"[0,20)",1,"[60,70)",2,4380
"[0,20)",1,"[60,70)",3,3370
"[0,20)",1,"[70,80)",1,90
"[0,20)",1,"[70,80)",2,20
"[0,20)",1,"[70,80)",3,10
"[0,20)",2,"[0,20)",1,88930
"[0,20)",2,"[0,20)",2,213630
"[0,20)",2,"[0,20)",3,1990
"[0,20)",2,"[20,30)",1,15360
"[0,20)",2,"[20,30)",2,247970
"[0,20)",2,"[20,30)",3,34350
"[0,20)",2,"[30,40)",1,7250
"[0,20)",2,"[30,40)",2,20630
"[0,20)",2,"[30,40)",3,21110
"[0,20)",2,"[40,50)",1,5220
"[0,20)",2,"[40,50)",2,11540
"[0,20)",2,"[40,50)",3,7240
"[0,20)",2,"[50,60)",1,4890
"[0,20)",2,"[50,60)",2,8160
"[0,20)",2,"[50,60)",3,4700
"[0,20)",2,"[60,70)",1,1940
"[0,20)",2,"[60,70)",2,2200
"[0,20)",2,"[60,70)",3,1700
"[0,20)",3,"[0,20)",1,620
"[0,20)",3,"[0,20)",2,1990
"[0,20)",3,"[20,30)",2,1580
"[0,20)",3,"[20,30)",3,210
"[0,20)",3,"[30,40)",2,10
"[0,20)",3,"[30,40)",3,10
"[20,30)",1,"[0,20)",1,74870
"[20,30)",1,"[0,20)",2,15540
"[20,30)",1,"[20,30)",1,27440
"[20,30)",1,"[20,30)",2,86420
"[20,30)",1,"[20,30)",3,32100
"[20,30)",1,"[30,40)",1,16440
"[20,30)",1,"[30,40)",2,25270
"[20,30)",1,"[30,40)",3,27100
"[20,30)",1,"[40,50)",1,13560
"[20,30)",1,"[40,50)",2,17610
"[20,30)",1,"[40,50)",3,10710
"[20,30)",1,"[50,60)",1,13280
"[20,30)",1,"[50,60)",2,16100
"[20,30)",1,"[50,60)",3,7830
"[20,30)",1,"[60,70)",1,5200
"[20,30)",1,"[60,70)",2,4220
"[20,30)",1,"[60,70)",3,2850
"[20,30)",1,"[70,80)",1,40
"[20,30)",1,"[70,80)",2,30
"[20,30)",2,"[0,20)",1,205110
"[20,30)",2,"[0,20)",2,249550
"[20,30)",2,"[0,20)",3,1590
"[20,30)",2,"[20,30)",1,84070
"[20,30)",2,"[20,30)",2,1536630
"[20,30)",2,"[20,30)",3,372040
"[20,30)",2,"[30,40)",1,78440
"[20,30)",2,"[30,40)",2,173710
"[20,30)",2,"[30,40)",3,240360
"[20,30)",2,"[40,50)",1,59800
"[20,30)",2,"[40,50)",2,111020
"[20,30)",2,"[40,50)",3,104660
"[20,30)",2,"[50,60)",1,55120
"[20,30)",2,"[50,60)",2,101620
"[20,30)",2,"[50,60)",3,79620
"[20,30)",2,"[60,70)",1,22920
"[20,30)",2,"[60,70)",2,33410
"[20,30)",2,"[60,70)",3,33090
"[20,30)",2,"[70,80)",1,460
"[20,30)",2,"[70,80)",2,1060
"[20,30)",2,"[70,80)",3,1330
"[20,30)",3,"[0,20)",1,53150
"[20,30)",3,"[0,20)",2,32990
"[20,30)",3,"[0,20)",3,220
"[20,30)",3,"[20,30)",1,29860
"[20,30)",3,"[20,30)",2,357200
"[20,30)",3,"[20,30)",3,1267260
"[20,30)",3,"[30,40)",1,38010
"[20,30)",3,"[30,40)",2,169070
"[20,30)",3,"[30,40)",3,879210
"[20,30)",3,"[40,50)",1,26070
"[20,30)",3,"[40,50)",2,90800
"[20,30)",3,"[40,50)",3,278400
"[20,30)",3,"[50,60)",1,29260
"[20,30)",3,"[50,60)",2,97650
"[20,30)",3,"[50,60)",3,175510
"[20,30)",3,"[60,70)",1,16020
"[20,30)",3,"[60,70)",2,36400
"[20,30)",3,"[60,70)",3,81190
"[20,30)",3,"[70,80)",1,200
"[20,30)",3,"[70,80)",2,490
"[20,30)",3,"[70,80)",3,1420
"[30,40)",1,"[0,20)",1,28460
"[30,40)",1,"[0,20)",2,7330
"[30,40)",1,"[20,30)",1,16590
"[30,40)",1,"[20,30)",2,79000
"[30,40)",1,"[20,30)",3,40610
"[30,40)",1,"[30,40)",1,28000
"[30,40)",1,"[30,40)",2,33480
"[30,40)",1,"[30,40)",3,40660
"[30,40)",1,"[40,50)",1,32550
"[30,40)",1,"[40,50)",2,30280
"[30,40)",1,"[40,50)",3,19190
"[30,40)",1,"[50,60)",1,34930
"[30,40)",1,"[50,60)",2,31730
"[30,40)",1,"[50,60)",3,16230
"[30,40)",1,"[60,70)",1,13380
"[30,40)",1,"[60,70)",2,9740
"[30,40)",1,"[60,70)",3,7630
"[30,40)",1,"[70,80)",1,70
"[30,40)",2,"[0,20)",1,47310
"[30,40)",2,"[0,20)",2,22170
"[30,40)",2,"[0,20)",3,10
"[30,40)",2,"[20,30)",1,24360
"[30,40)",2,"[20,30)",2,173540
"[30,40)",2,"[20,30)",3,176000
"[30,40)",2,"[30,40)",1,31230
"[30,40)",2,"[30,40)",2,93660
"[30,40)",2,"[30,40)",3,184160
"[30,40)",2,"[40,50)",1,39120
"[30,40)",2,"[40,50)",2,91470
"[30,40)",2,"[40,50)",3,97460
"[30,40)",2,"[50,60)",1,44440
"[30,40)",2,"[50,60)",2,81570
"[30,40)",2,"[50,60)",3,71580
"[30,40)",2,"[60,70)",1,18880
"[30,40)",2,"[60,70)",2,25900
"[30,40)",2,"[60,70)",3,24240
"[30,40)",2,"[70,80)",1,260
"[30,40)",2,"[70,80)",2,280
"[30,40)",2,"[70,80)",3,650
"[30,40)",3,"[0,20)",1,61260
"[30,40)",3,"[0,20)",2,19640
"[30,40)",3,"[0,20)",3,10
"[30,40)",3,"[20,30)",1,25330
"[30,40)",3,"[20,30)",2,228500
"[30,40)",3,"[20,30)",3,878400
"[30,40)",3,"[30,40)",1,39090
"[30,40)",3,"[30,40)",2,174180
"[30,40)",3,"[30,40)",3,1711180
"[30,40)",3,"[40,50)",1,37260
"[30,40)",3,"[40,50)",2,165280
"[30,40)",3,"[40,50)",3,514420
"[30,40)",3,"[50,60)",1,48170
"[30,40)",3,"[50,60)",2,157130
"[30,40)",3,"[50,60)",3,337170
"[30,40)",3,"[60,70)",1,24290
"[30,40)",3,"[60,70)",2,49980
"[30,40)",3,"[60,70)",3,125520
"[30,40)",3,"[70,80)",1,150
"[30,40)",3,"[70,80)",2,400
"[30,40)",3,"[70,80)",3,1230
"[40,50)",1,"[0,20)",1,20570
"[40,50)",1,"[0,20)",2,5080
"[40,50)",1,"[20,30)",1,13300
"[40,50)",1,"[20,30)",2,59790
"[40,50)",1,"[20,30)",3,27600
"[40,50)",1,"[30,40)",1,32650
"[40,50)",1,"[30,40)",2,39800
"[40,50)",1,"[30,40)",3,40980
"[40,50)",1,"[40,50)",1,52380
"[40,50)",1,"[40,50)",2,46590
"[40,50)",1,"[40,50)",3,25370
"[40,50)",1,"[50,60)",1,65070
"[40,50)",1,"[50,60)",2,48820
"[40,50)",1,"[50,60)",3,27690
"[40,50)",1,"[60,70)",1,21740
"[40,50)",1,"[60,70)",2,16460
"[40,50)",1,"[60,70)",3,9720
"[40,50)",1,"[70,80)",1,70
"[40,50)",1,"[70,80)",2,150
"[40,50)",1,"[70,80)",3,20
"[40,50)",2,"[0,20)",1,24480
"[40,50)",2,"[0,20)",2,11190
"[40,50)",2,"[20,30)",1,16730
"[40,50)",2,"[20,30)",2,108540
"[40,50)",2,"[20,30)",3,97700
"[40,50)",2,"[30,40)",1,28050
"[40,50)",2,"[30,40)",2,97460
"[40,50)",2,"[30,40)",3,192860
"[40,50)",2,"[40,50)",1,46420
"[40,50)",2,"[40,50)",2,100410
"[40,50)",2,"[40,50)",3,93000
"[40,50)",2,"[50,60)",1,55390
"[40,50)",2,"[50,60)",2,98200
"[40,50)",2,"[50,60)",3,82730
"[40,50)",2,"[60,70)",1,24160
"[40,50)",2,"[60,70)",2,37070
"[40,50)",2,"[60,70)",3,33060
"[40,50)",2,"[70,80)",1,270
"[40,50)",2,"[70,80)",2,120
"[40,50)",2,"[70,80)",3,270
"[40,50)",3,"[0,20)",1,14600
"[40,50)",3,"[0,20)",2,7070
"[40,50)",3,"[20,30)",1,10760
"[40,50)",3,"[20,30)",2,104920
