n_communities,pref_attachment,network,threshold_idx,threshold_value,median_final_adoption,internal_variance_adoption,ratio
1.0,0.0,etngrp_geslacht_lft_oplniv,0,0.05,794.0,0.0,0.0358351895167103
1.0,0.0,etngrp_geslacht_lft_oplniv,1,0.13333333333333333,676.4,78392.94,0.0358351895167103
1.0,0.0,etngrp_geslacht_lft_oplniv,2,0.21666666666666667,351.45,132368.34749999997,0.0358351895167103
1.0,0.0,etngrp_geslacht_lft_oplniv,3,0.3,33.6,315.94000000000005,0.0358351895167103
1.0,0.0,etngrp_oplniv,0,0.05,860.0,0.0,0.2076092668114412
1.0,0.0,etngrp_oplniv,1,0.13333333333333333,860.0,0.0,0.2076092668114412
1.0,0.0,etngrp_oplniv,2,0.21666666666666667,74.35,32576.827499999996,0.2076092668114412
1.0,0.0,etngrp_oplniv,3,0.3,33.3,67.71,0.2076092668114412
1.0,0.0,geslacht,0,0.05,860.0,0.0,0.5047082730751882
1.0,0.0,geslacht,1,0.13333333333333333,736.25,86780.9875,0.5047082730751882
1.0,0.0,geslacht,2,0.21666666666666667,33.9,46.790000000000006,0.5047082730751882
1.0,0.0,geslacht,3,0.3,36.0,32.6,0.5047082730751882
1.0,0.0,geslacht_oplniv,0,0.05,860.0,0.0,0.19038745018530834
1.0,0.0,geslacht_oplniv,1,0.13333333333333333,777.2,61708.96000000001,0.19038745018530834
1.0,0.0,geslacht_oplniv,2,0.21666666666666667,35.0,104.8,0.19038745018530834
1.0,0.0,geslacht_oplniv,3,0.3,36.15,35.3275,0.19038745018530834
1.0,0.0,lft,0,0.05,808.0,0.0,0.1923835254618758
1.0,0.0,lft,1,0.13333333333333333,649.35,100726.1275,0.1923835254618758
1.0,0.0,lft,2,0.21666666666666667,62.85,3096.2275,0.1923835254618758
1.0,0.0,lft,3,0.3,45.85,1051.1275,0.1923835254618758
